node_id,sampling_interval_ms,deadband_value,deadband_type,active,keywords
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_Ckqjo_lBoRgFnfAv,1000,88,ABSOLUTE,0,[1; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_Edkci_nrcOWyVJDj,1000,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_MkmZw_geqMipzuVr,1000,9,RELATIVE,1,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_WVJFQ_svItlPmaqB,1000,,,0,[1]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_XibZD_GujpxHhyvU,1000,,,0,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_hMHbB_UJGobHDMEB,500,88,ABSOLUTE,0,[1; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_jMNfe_MOueULcRWV,500,,,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_kLJFz_AlNcZOfxrd,100,88,ABSOLUTE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_oaZbT_JufGHEPZts,1000,,,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_tZPeE_AyZRTbUOYh,500,9,RELATIVE,1,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_tlhTg_dVHWlSajUz,100,88,ABSOLUTE,0,[2; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AB_wqafd_hrlWmosDOp,500,,,0,[2; 3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_DCOTB_CJvAmTDsUh,100,88,ABSOLUTE,1,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_DKLsd_TUFqHJPgxI,500,,,1,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_dKCGz_ULavDwKGfz,100,9,RELATIVE,0,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_lIefy_kJlZFrNIjq,100,88,ABSOLUTE,0,[1]
ns=6;s=StarGateway:Shaco.Jinx.CU.AC_uSmzQ_odbXJKfRiu,1000,88,ABSOLUTE,1,[1; 2; 3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AD_AspnW_zEyGUTZkYb,100,88,ABSOLUTE,1,[1]
ns=6;s=StarGateway:Shaco.Jinx.CU.AD_YjWdT_FNVyLmqDOg,100,88,ABSOLUTE,0,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AD_aWnsc_CgniHdmvDt,500,88,ABSOLUTE,0,[1; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AD_qenCG_RmWGHBtMFw,1000,,,0,[1; 2; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AE_KJyHE_BcHrARbdyj,1000,88,ABSOLUTE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AE_dphCf_oslOdVECpu,1000,9,RELATIVE,0,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AE_elijq_YGjglciJBP,100,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AE_feiIq_oZPugWaTEs,1000,88,ABSOLUTE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AE_kaThs_iPtjSaefok,100,9,RELATIVE,1,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_CZPzp_fjxQWFeOim,500,,,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_HrMeB_ueKGrXCMQf,500,9,RELATIVE,1,[3]
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_ZsjMW_MjHUXnTVgq,500,,,1,[3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_mNrJZ_WMygtFXZnY,500,,,0,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_pUfbC_iShWuEgqtl,1000,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_qRNMI_rzWGNYHnBC,100,,,0,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AF_zPFaQ_dMFrknOfvu,500,,,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_FcmvN_YgTKMJfNkW,100,,,0,[1; 2; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_XNlRg_JLoPVbfWZg,100,88,ABSOLUTE,1,[4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_bXEsf_vIiSYUFgKR,500,88,ABSOLUTE,0,[1; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_bljzh_WUgzGLSQPr,100,9,RELATIVE,1,[1; 3; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_dQtFK_WrImbZvtDJ,100,88,ABSOLUTE,0,[1; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_ercYb_MoXbGEZdFc,1000,,,0,[1; 2; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_oZFDv_VlGWMogYIK,500,88,ABSOLUTE,0,[1; 3; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AG_vDUdA_iTXmDAMuBn,1000,88,ABSOLUTE,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_MVgFl_rCVltIAEBc,1000,9,RELATIVE,1,[5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_PbunM_teilCSZhRN,100,,,0,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_QJgqW_SzMAoplDBu,500,,,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AH_rbqmE_juXRVLIsHY,100,88,ABSOLUTE,0,[1; 4]
ns=6;s=StarGateway:Shaco.Jinx.CU.AI_ahbEN_dZFsAcpKya,500,88,ABSOLUTE,1,[1; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AI_lWwBc_sdGcvpKfHU,100,,,0,[2]
ns=6;s=StarGateway:Shaco.Jinx.CU.AI_mUJif_XQDqAyames,1000,,,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AI_odSDF_YvZBtujgcl,100,9,RELATIVE,1,[1]
ns=6;s=StarGateway:Shaco.Jinx.CU.AI_wJxCp_PMctBOnfEb,500,88,ABSOLUTE,1,[2; 3; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_AxDHs_hYTtHPnQwA,100,,,0,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_Btjzv_hTDAGqcVou,100,9,RELATIVE,1,[]
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_IsPnL_sxHqcbWjhX,100,9,RELATIVE,1,[3; 4; 5]
ns=6;s=StarGateway:Shaco.Jinx.CU.AJ_mJUwC_TNZhcbVnSg,1000,9,RELATIVE,0,[]
